Provider Number,Provider Name,Address,City,Phone_Number,ZipCode,Service Area,Supervisory District,Programs/Services,Provider Classification,Age Group Served,Language/Cultures,Operation,Operation Hours,Walk-In-Hours
7362,ASIAN PACIFIC-SFV,15400 SHERMAN WAY STE. 220,VAN NUYS,(818) 267-1100,91406,2,3,"MEDICATION SERVICES, MENTAL HEALTH SERVICES* (MHS), SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/OLDER ADULT/TAY,"CAMBODIAN, ENGLISH, JAPANESE, KOREAN, SPANISH, VIETNAMESE",NGA,MON - FRI 9:00 AM - 5:00 PM,CONTACT PROVIDER
7626,AVIVA FAMILY AND CHILDREN'S SERVICES,5200 LANKERSHIM BLVD. STE. 170,NORTH HOLLYWOOD,(818) 980-3200,91601,2,3,"MENTAL HEALTH SERVICES* (MHS), PREVENTION & EARLY INTERVENTION (PEI), WRAPAROUND SERVICES",OUTPATIENT,CHILD/TAY,"ARABIC, ARMENIAN, ENGLISH, FARSI, FRENCH, KOREAN, RUSSIAN, SPANISH, SWATOWESE, TAGALOG",NGA,CONTACT PROVIDER,CONTACT PROVIDER
7413,CHILD & FAMILY CENTER,23504 LYONS AVE. STE. 204,NEWHALL,(661) 286-2550,91321,2,5,"ADULT SERVICES, DOMESTIC VIOLENCE TREATMENT, FIELD CAPABLE CLINICAL SERVICES (FCCS), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), SCHOOL-BASED SERVICES",OUTPATIENT,ADULT/CHILD/TAY,"CANTONESE, CZECH, ENGLISH, GERMAN, HEBREW, ITALIAN, MANDARIN, SPANISH",NGA,CONTACT PROVIDER,CONTACT PROVIDER
7479,CHILD & FAMILY CENTER-SANTA CLARITA,21545 CENTRE POINT PKWY.,SANTA CLARITA,(661) 259-9439,91350,2,5,"CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PREVENTION & EARLY INTERVENTION (PEI), SPECIALIZED FOSTER CARE, SUBSTANCE ABUSE TREATMENT, WRAPAROUND",OUTPATIENT,CHILD/TAY,"CANTONESE, CZECH, ENGLISH, GERMAN, HEBREW, ITALIAN, MANDARIN, SPANISH",NGA,MON - FRI 8:00 AM - 8:00 PM,CONTACT PROVIDER
7390,CHILD & FAMILY GUIDANCE CENTER,6851 LENNOX AVE. STE. 100,VAN NUYS,(818) 739-5400,91405,2,3,"CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ARMENIAN, CANTONESE, ENGLISH, FRENCH, GERMAN, HEBREW, HINDI, ITALIAN, JAPANESE, KOREAN, MANDARIN, PORTUGUESE, RUSSIAN, SAMOAN, SPANISH, TAGALOG, THAI, VIETNAMESE",NGA,MON - THURS 8:30 AM - 8:30 PM; FRI 8:30 AM - 5:30 PM,CONTACT PROVIDER
7247,CHILD & FAMILY GUIDANCE CENTER-BALBOA,16861 PARTHENIA ST.,NORTH HILLS,(818) 830-0200,91343,2,3,"COMMUNITY OUTREACH, CRISIS INTERVENTION, MENTAL HEALTH SERVICES* (MHS), SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ARMENIAN, CANTONESE, DANISH, ENGLISH, FRENCH, GERMAN, HEBREW, HINDI, ITALIAN, JAPANESE, KOREAN, MANDARIN, NORWEGIAN, PORTUGUESE, SAMOAN, SPANISH, SWAHILI, TAGALOG, THAI, VIETNAMESE",NGA,MON - THUR 8:30 AM - 7:00 PM; FRI 8:30 AM - 5:30 PM,CONTACT PROVIDER
1975,CHILD & FAMILY GUIDANCE CENTER-NORTHRIDGE,9650 ZELZAH AVE.,NORTHRIDGE,(818) 739-5250,91325,2,3,"COMMUNITY OUTREACH, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ARMENIAN, CANTONESE, ENGLISH, FRENCH, GERMAN, HEBREW, HINDI, ITALIAN, JAPANESE, KOREAN, MANDARIN, PORTUGUESE, RUSSIAN,  SAMOAN, TAGALOG, THAI, VIETNAMESE",NGA,MON - THURS 8:30 AM - 7:00 PM; FRI 8:30 AM - 5:00 PM,CONTACT PROVIDER
7761,CORNERSTONE STREET TO HOME,14660 OXNARD ST.,VAN NUYS,(818) 901-4836,91411,2,3,"AB109, CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 6:00 PM; SAT - SUN 8:00 AM - 4:30 PM,CONTACT PROVIDER
7483,COUNSELING4KIDS,601 SOUTH GLEN OAKS BLVD. STE. 200,BURBANK,(818) 441-7800,91502,2,5,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",OUTPATIENT,CHILD/TAY,"ARMENIAN, BULGARIAN, ENGLISH, ITALIAN, PORTUGUESE, SPANISH",NGA,MON - FRI 8:30 AM - 5:00 PM,CONTACT PROVIDER
7868,DIDI HIRSCH PSYCHIATRIC SERVICES - PROJECT 60,11643 GLENOAKS BLVD,PACOIMA,(310) 390-3728,91331,2,3,"MENTAL HEALTH SERVICES* (MHS), PREVENTION & EARLY INTERVENTION (PEI)",OUTPATIENT,CHILD/ADULT,ENGLISH,NGA,MON - FRI 8:30 AM - 5:00 PM,CONTACT PROVIDER
7812,DIDI HIRSCH PSYCHIATRIC SERVICES-GLENDALE,1540 EAST COLORADO ST.,GLENDALE,(818) 244-7257,91205,2,3,"MENTAL HEALTH SERVICES* (MHS), PREVENTION & EARLY INTERVENTION",OUTPATIENT,CHILD/ADULT,"ENGLISH, EASTERN EUROPEAN/MIDDLE EASTERN",NGA,MON - FRI 8:30 AM - 5:00 PM,CONTACT PROVIDER
7371,EL CENTRO AMISTAD-SAN FERNANDO,566 SOUTH BRAND BLVD.,SAN FERNANDO,(818) 898-0223 / FAX (818) 361-05384,91340,2,3,"COMMUNITY OUTREACH, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, KOREAN, PUNJABI, SPANISH",NGA,MON - FRI 8:30 AM - 5:00 PM; TUES 8:30 AM - 7:30 PM,CONTACT PROVIDER
7050,EL CENTRO DE AMISTAD,7038 OWENSMOUTH,CANOGA PARK,(818) 347-8565 /FAX (818) 347-0506,91303,2,3,"COMMUNITY OUTREACH, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ASSYRIAN, ENGLISH, FARSI, INDONESIAN, SPANISH",NGA,MON 8:30 AM - 5:00 PM; THUR 8:30 AM - 7:30 PM; WED - FRI 8:30 AM - 5:00 PM,CONTACT PROVIDER
7557,HATHAWAY SYCAMORES CHILD & FAMILY SERVICES,12450 VAN NUYS BLVD.,PACOIMA,(818) 896-8366,91331,2,3,"DAY TREATMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",OUTPATIENT,CHILD/TAY,"ARMENIAN, BULGARIAN, CANTONESE, ENGLISH, FRENCH, HEBREW, HUNGARIAN, MANDARIN, ROMANIAN, RUSSIAN, SERBO-CROATIAN, SPANISH, SWATOWESE, VIETNAMESE",NGA,MON - TUES 9:00 AM - 6:00 PM; WED 12:00 PM - 8:00 PM; THURS 9:00 AM - 7:00 PM,CONTACT PROVIDER
7600,HATHAWAY SYCAMORES CHILD FAMILY SERVICES,12510 VAN NUYS BLVD.,PACOIMA,(818) 897-7565,91331,2,3,"FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",OUTPATIENT,CHILD/TAY,"ARMENIAN, BULGARIAN, CANTONESE, ENGLISH, FRENCH, GERMAN, GREEK, HUNGARIAN, ILOCANO, KOREAN, MANDARIN, PUNJABI, ROMANIAN, RUSSIAN, SERBO-CROATIAN, SPANISH, TAGALOG, TAIWANESE, TURKISH",NGA,CONTACT PROVIDER,CONTACT PROVIDER
7420,HILLVIEW MHC AB 109,12408 VAN NUYS BLVD BUILDING D,PACOIMA,(818) 896-1161,91331,2,3,"AB019, FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING",OUTPATIENT,ADULT,"ARABIC, ARMENIAN, ENGLISH, FARSI, FRENCH, GERMAN, GREEK, HEBREW, ITALIAN, JAPANESE, KOREAN, MANDARIN, RUSSIAN, SPANISH, TAGALOG, YIDDISH",NGA,NOT APPLICABLE,CONTACT PROVIDER
7068,"HILLVIEW MHC, INC.",12450 VAN NUYS BLVD. STE. 200,PACOIMA,(818) 896-1161,91331,2,3,"CALWORKS, FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PREVENTION & EARLY INTERVENTION (PEI), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT, WELLNESS",OUTPATIENT,ADULT/OLDER ADULT/TAY,"ARMENIAN, ENGLISH, FARSI, FRENCH, GERMAN, GREEK, HEBREW, ITALIAN, KOREAN, MANDARIN, RUSSIAN, SPANISH, TAGALOG, YIDDISH",NGA,MON - FRI 9:00 AM - 5:30 PM,MON - FRI 9:00 AM - 3:00 PM
7547,INST. FOR MULTICULTURAL COUNSELING AND EDUCATION SRVS.,431 NORTH BRAND BLVD. STE. 202,GLENDALE,(818) 240-4311,91203,2,5,"COMMUNITY OUTREACH, EASTERN EUROPEAN/MIDDLE EASTERN, FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING",OUTPATIENT,ADULT/CHILD/TAY,"ARABIC, ARMENIAN, BURMAN, DUTCH, ENGLISH, FARSI, FRENCH, HEBREW, HINDI, ITALIAN, JAPANESE, KOREAN, POLISH,  RUSSIAN, SERBO - CROATIAN, SPANISH, URDU",NGA,CONTACT PROVIDER,CONTACT PROVIDER
7485,NORTH VALLEY YOUTH AND FAMILY CENTER,"11565  LAUREL CANYON BLVD, SUITE 114, 115, 117",MISSION HILLS,(818) 361-5030,91340,2,3,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,CHILD/TAY,ENGLISH,NGA,MON - FRI 8:30 AM - 6:00 PM,CONTACT PROVIDER
7378,PACIFIC ASIAN COUNSELING SERVICES SFV,6851 LENNOX AVE. STE. 400,VAN NUYS,(818) 989-9214,91405,2,3,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), SPECIALIZED FOSTER CARE",OUTPATIENT,ADULT/CHILD/TAY,"CALO, CAMBODIAN, CANTONESE, CREOLE, ENGLISH, FRENCH, HAITIAN-CREOLE, HEBREW, HMONG, JAPANESE, KHMER, KOREAN, MANDARIN, SPANISH, TAGALOG, TAIWANESE, VIETNAMESE",NGA,MON - FRI 9:00 AM - 6:30 PM,CONTACT PROVIDER
7502,PACIFIC CLINICS-HYE WRAP PROGRAM,237 NORTH CENTRAL AVE. STE. C,GLENDALE,(818) 547-9544,91203,2,5,"FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",OUTPATIENT,CHILD/TAY,"AFGHAN, ARMENIAN, ENGLISH, KOREAN, PASHTO, RUSSIAN, SPANISH",NGA,CONTACT PROVIDER,SCHOOL BASED PROGRAM
7551,PACIFIC LODGE YOUTH SERVICES,4900 SERRANIA AVE.,WOODLAND HILLS,(818) 347-1577,91364,2,3,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PREVENTION & EARLY INTERVENTION (PEI), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT, THERAPEUTIC BEHAVIORAL SERVICES",OUTPATIENT,CHILD/TAY,"ENGLISH, FARSI, FINNISH, SPANISH, TAGALOG",NGA,CONTACT PROVIDER,CONTACT PROVIDER
6863,PENNY LANE CENTERS,15317 RAYEN ST.,NORTH HILLS,(818) 892-3423,91343,2,3,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, THERAPEUTIC BEHAVIORAL SERVICES",OUTPATIENT,CHILD/TAY,"ARABIC, ARMENIAN, ENGLISH,  RUSSIAN, SERBO-CROATIAN, SPANISH, VIETNAMESE",NGA,MON - THUR 8:00 AM - 8:00 PM; FRI 8:00 AM - 6:00 PM,CONTACT PROVIDER
7855,PENNY LANE CENTERS,10526 DUBNUFF WAY,NORTH HOLLYWOOD,818-755-4950/ Fax 818-752-0783,91606,2,3,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ARABIC, ARMENIAN, ENGLISH, HEBREW, KOREAN, SPANISH",NGA,MON-THUR 8:00 AM- 8:00 PM; FRI 8:00 AM-6:00 PM,CONTACT PROVIDER
7356,PHOENIX HOUSE OF L.A. INC.,11600 ELDRIDGE AVE.,LAKE VIEW TERRRACE,(818) 896-1121,91342,2,3,"DAY REHABILITATION, DUAL DIAGNOSIS, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), OUTPATIENT SUBSTANCE ABUSE GROUPS, PREVENTION & EARLY INTERVENTION (PEI), THERAPEUTIC BEHAVIORAL SERVICES",OUTPATIENT,CHILD/TAY,"ENGLISH, FRENCH",NGA,24 HOUR FACILITY,CONTACT PROVIDER
7358,SAN FERNANDO VALLEY CMHC-AB34,14660 OXNARD ST.,VAN NUYS,(818) 785-0103,91411,2,3,"CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING",OUTPATIENT,ADULT,"ENGLISH, HEBREW, SPANISH",NGA,MON - FRI 8:00 AM - 6:00 PM; SAT - SUN 8:00 AM - 4:30 PM,CONTACT PROVIDER
7252,SAN FERNANDO VALLEY CMHC-ADULT FCCS,14530 HAMLIN ST. STE. 200,VAN NUYS,(818) 373-4993,91411,2,3,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING",OUTPATIENT,ADULT,"ENGLISH, RUSSIAN, SPANISH, THAI",NGA,MON - FRI 8:30 AM - 5:00 PM,CONTACT PROVIDER
7100,SAN FERNANDO VALLEY CMHC-CENTER FOR FAMILY LIVING,14545 SHERMAN CIRCLE,VAN NUYS,(818) 901-4854,91405,2,3,"CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"ENGLISH, FARSI, INDONESIAN, SPANISH, VIETNAMESE",NGA,MON - FRI 8:30 AM - 5:00 PM,CONTACT PROVIDER
7174,SAN FERNANDO VALLEY CMHC-CORNERSTONE,14660 OXNARD ST.,VAN NUYS,(818) 901-4836,91411,2,3,"COMMUNITY OUTREACH, DUAL DIAGNOSIS, MENTAL HEALTH SERVICES* (MHS), TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 6:00 PM; SAT - SUN 8:00 AM - 4:30 PM,CONTACT PROVIDER
7369,SAN FERNANDO VALLEY CMHC-FAMILY LINKS,11565 LAUREL CANYON BLVD. STE. 116,MISSION HILLS,(818) 361-5030,91340,2,3,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PREVENTION & EARLY INTERVENTION (PEI), SPECIALIZED FOSTER CARE, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"ENGLISH, FARSI, ITALIAN, NORWEGIAN, RUSSIAN, SPANISH, VIETNAMESE",NGA,MON - THURS 8:00 AM - 7:00 PM; FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7322,SAN FERNANDO VALLEY CMHC-HOMEBOUND,14600  SHERMAN WAY STE. 100D,VAN NUYS,(818) 374-6901,91405,2,3,"MENTAL HEALTH SERVICES* (MHS), PREVENTION & EARLY INTERVENTION (PEI)",OUTPATIENT,OLDER ADULT,"ARABIC, ARMENIAN, ENGLISH, FARSI, FRENCH, GERMAN, KOREAN, MANDARIN, SPANISH",NGA,MON - FRI 8:30 AM - 5:00 PM,CONTACT PROVIDER
7177,SAN FERNANDO VALLEY CMHC-MACDONALD CAREY CENTER,11631 VICTORY BLVD. STE. 203,NORTH HOLLYWOOD,(818) 908-3855,91606,2,3,"CALWORKS, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT,"ARMENIAN, ENGLISH, FARSI, FRENCH, RUSSIAN, SPANISH, VIETNAMESE",NGA,MON - FRI 8:00 AM - 5:00 PM,BY REFERRAL ONLY
7320,SAN FERNANDO VALLEY CMHC-TRANSITIONAL YOUTH,14535 SHERMAN CIRCLE,VAN NUYS,(818) 901- 4854,91405,2,3,"FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PREVENTION & EARLY INTERVENTION (PEI), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",OUTPATIENT,CHILD/TAY,"ARMENIAN, ENGLISH, FRENCH, RUSSIAN, SPANISH",NGA,CONTACT PROVIDER,MON - FRI 8:30 AM - 5:00 PM
7235,SAN FERNANDO VALLEY CMHC-VICTORY CLUB HOUSE,14515 HAMLIN ST. STE. 102,VAN NUYS,(818) 989-7475,91411,2,3,"MENTAL HEALTH SERVICES* (MHS), PREVENTION & EARLY INTERVENTION (PEI)",OUTPATIENT,ADULT,"AMERICAN SIGN, ARMENIAN, ENGLISH, SPANISH",NGA,"MON 8:30 AM - 5:00 PM; TUES, THURS, FRI 8:30 AM - 5:30 PM; WED 8:30 AM - 7:00 PM; SAT 9:00 AM - 5:30 PM",CONTACT PROVIDER
7354,SAN FERNANDO VALLEY CMHC-YOUTH & FAMILY CENTER,14624 SHERMAN WAY STE. 508,VAN NUYS,(818) 908-4990,91405,2,3,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), SPECIALIZED FOSTER CARE",OUTPATIENT,CHILD/TAY,"ARABIC, ENGLISH, FRENCH, JAPANESE, RUSSIAN, SPANISH",NGA,MON - THURS 9:00 AM - 7:00 PM; FRI 8:30 AM - 5:30 PM,CONTACT PROVIDER
7355,SAN FERNANDO VALLEY CMHC-YOUTH CONTACT FCCS,14550 SHERMAN WAY,VAN NUYS,(818) 901-4879,91405,2,3,"FIELD CAPABLE CLINICAL SERVICES (FCCS), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - THURS 9:00 AM - 7:00 PM; FRI 8:30 AM - 5:30 PM,CONTACT PROVIDER
7754,SPECIALIZED FOSTER CARE-CHATSWORTH,20151 NORDHOFF ST.,CHATSWORTH,(818) 717-4610,91311,2,3,"MENTAL HEALTH SERVICES* (MHS), TREATMENT AND LINKAGE",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:30 PM,BY REFERRAL ONLY
7559,SPECIALIZED FOSTER CARE-SANTA CLARITA,28490 AVE. STANFORD. #100,SANTA CLARITA,(661) 702-6420,91355,2,5,"MENTAL HEALTH SERVICES* (MHS), TREATMENT AND LINKAGE",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,BY REFERRAL ONLY
7481,STIRLING BEHAVIORAL HEALTH INSTITUTE,6931 VAN NUYS BLVD. STE. 102,VAN NUYS,(818) 376-0134 /FAX: (818) 376-1437,91405,2,3,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), SCHOOL-BASED SERVICES, SPECIALIZED FOSTER CARE",OUTPATIENT,CHILD/TAY,"ENGLISH, FARSI, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,CONTACT PROVIDER
7522,TARZANA TREATMENT CENTER INC.,18646 OXNARD ST.,TARZANA,(818) 996-1051,91356,2,3,"EARLY AND PERIODIC SCREENING DIAGNOSIS AND TESTING, FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PREVENTION & EARLY INTERVENTION (PEI), PSYCHOLOGICAL TESTING",OUTPATIENT,ADULT/CHILD/TAY,"AMERICAN SIGN, ENGLISH, GERMAN, SPANISH/LATINO, VIETNAMESE",NGA,MON - FRI 8:00 AM - 5:00 PM,MON - FRI 8:00 AM - 5:00 PM
7095,THE HELP GROUP CHILD & FAMILY CENTER,13130 BURBANK BLVD.,SHERMAN OAKS,(818) 782-4655,91401,2,3,"COMMUNITY OUTREACH, DAY REHABILITATION, DAY TREATMENT, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",OUTPATIENT,CHILD/TAY,"ARMENIAN, CZECH, ENGLISH, FARSI, FRENCH, ITALIAN, KOREAN, PORTUGUESE, RUSSIAN, SLOVAK, SPANISH, TAGALOG, TURKISH",NGA,MON - FRI 8:30 AM - 6:00 PM,CONTACT PROVIDER
7624,THE HELP GROUP CHILD AND FAMILY CENTER,15339 SATICOY ST. BLDG. 300,VAN NUYS,(818) 267-2646,91406,2,3,"CALWORKS, MENTAL HEALTH SERVICES* (MHS), FIELD CAPABLE CLINICAL SERVICES (FCCS), FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT",OUTPATIENT,ADULT/CHILD/TAY,"ARABIC, ENGLISH, FRENCH, HEBREW, JAPANESE, SPANISH, RUSSIAN",NGA,M-F 9:00 AM - 6:00 PM; SAT 9:00 AM - 3:00 PM,CONTACT PROVIDER
7490,THE HELP GROUP-PACIFIC RIDGE,15339 SATICOY,VAN NUYS,(818) 267-2646,91405,2,3,"DAY REHABILITATION, DAY TREATMENT, FULL SERVICE PARTNERSHIP (FSP), MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",OUTPATIENT,ADULT/CHILD/TAY,"ARABIC, ENGLISH, FRENCH, HEBREW, JAPANESE, RUSSIAN, SPANISH",NGA,MON - FRI 9:00 AM - 6:00 PM; SAT 9:00 AM - 3:00 PM,BY REFERRAL ONLY
7564,THE VILLAGE FAMILY SERVICES,6736 LAUREL CANYON BLVD. STE. 200,NORTH HOLLYWOOD,(818) 755-8786,91606,2,3,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, THERAPEUTIC BEHAVIORAL SERVICES",OUTPATIENT,CHILD/TAY,"ENGLISH, FARSI, KOREAN, RUSSIAN, SPANISH",NGA,MON - THURS 8:30 AM - 9:30 PM; 8:30 AM - 1:30 PM,CONTACT PROVIDER
7857,THE VILLAGE FAMILY SERVICES,6801 COLD WATER CANYON BLVD. STE. 1-E,NORTH HOLLYWOOD,(818) 755-8786,91606,2,3,MENTAL HEALTH SERVICES* (MHS),OUTPATIENT,TAY,"ENGLISH, SPANISH",NGA,MON - FRI 10:00 AM - 12:30 PM; 2:00 PM - 5:00 PM,CONTACT PROVIDER
7530,TOBINWORLD,920 EAST BROADWAY,GLENDALE,(818) 242-8403,91205,2,5,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,CHILD/TAY,"ENGLISH, SPANISH",NGA,CONTACT PROVIDER,CONTACT PROVIDER
7283,TOPANGA WEST GUEST HOME,22115 ROSCOE BLVD.,CANOGA PARK,(818) 884-8100,91304,2,5,"CRISIS INTERVENTION, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT, WELLNESS CENTER",OUTPATIENT,ADULT,"AMERICAN SIGN, ENGLISH, RUSSIAN, SPANISH",NGA,CONTACT PROVIDER,CONTACT PROVIDER
7591,LAC-OLIVE VIEW-COMMUNITY MENTAL HEALTH CENTER,14659 OLIVE VIEW DR.,SYLMAR,(818) 485-0888,91342,2,5,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS), PSYCHOLOGICAL TESTING, TARGETED CASE MANAGEMENT",OUTPATIENT,ADULT/CHILD/TAY,"ARABIC, ARMENIAN, ENGLISH, FARSI, GREEK, KURDIS, SPANISH, TAGALOG",DMH,MON - FRI 8:00 AM - 10:00 PM; SAT & SUN 9:00 AM - 5:30 PM,MON - FRI 8:00 AM - 10:00 PM; SAT & SUN 9:00 AM - 5:30 PM
7591,LAC-OLIVE VIEW-URGENT CARE CENTER,14659 OLIVE VIEW DR.,SYLMAR,(818) 485-0888,91342,2,5,"CRISIS INTERVENTION, CRISIS STABILIZATION, MEDICATION SUPPORT",CRISIS SERVICES,ADULT/CHILD/TAY,"ARABIC, ARMENIAN, ENGLISH, FARSI, GREEK, KURDIS, SPANISH, TAGALOG",DMH,MON - FRI 8:00 AM - 10:00 PM; SAT & SUN 9:00 AM - 5:30 PM,MON - FRI 8:00 AM - 10:00 PM; SAT & SUN 9:00 AM - 5:30 PM
1953,LAC-OLIVE VIEW-EMERGENCY ROOM,14445 OLIVE VIEW DR.,SYLMAR,(818) 364-3432,91342,2,5,"CRISIS STABILIZATION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES* (MHS)",CRISIS SERVICES,ADULT,"ENGLISH, FRENCH, GERMAN, HINDI, PUNJABI, RUSSIAN, SPANISH, TAGALOG, URDU",DHS,24 HOURS,24 HOURS
7485,SAN FERNANDO VALLEY COMMUNITY MHC-PROBATION CAMPS,16350 FILBERT ST.,SYLMAR,818-755-4950,91342,2,4,MENTAL HEALTH SERVICES* (MHS),JUVENILE JUSTICE,CHILD/TAY,"ENGLISH, SPANISH",NGA,MON - FRI 8:00 AM - 5:00 PM,BY REFERRAL ONLY
